num,player,season,time,reb,ast,ste,blo,tov,ppg,win,lose,win_rate,
4713,Chris Wilp,1988.000000,11.700000,2.700000,0.400000,0.300000,0.600000,0.600000,3.400000,41.000000,31.000000,0.569444,
4714,Chris Wilp,1987.000000,13.200000,2.400000,0.500000,0.500000,0.500000,0.900000,4.800000,5.000000,5.000000,0.500000,
4715,Chris Whitney,2003.000000,11.600000,0.900000,0.900000,0.400000,0.100000,0.400000,2.900000,3.000000,13.000000,0.187500,
4716,Chris Whitney,2002.000000,20.600000,1.300000,2.800000,0.600000,0.000000,1.400000,7.000000,17.000000,34.000000,0.333333,
4717,Chris Whitney,2002.000000,13.200000,1.000000,1.000000,0.500000,0.000000,0.700000,3.500000,12.000000,10.000000,0.545455,
4718,Chris Whitney,2002.000000,26.300000,1.600000,4.300000,0.600000,0.000000,1.900000,9.600000,5.000000,24.000000,0.172414,
4719,Chris Whitney,2001.000000,26.500000,1.900000,3.800000,0.900000,0.100000,1.000000,10.200000,37.000000,45.000000,0.451220,
4720,Chris Whitney,2000.000000,26.000000,1.800000,4.200000,0.900000,0.100000,1.700000,9.500000,12.000000,47.000000,0.203390,
4721,Chris Whitney,1999.000000,19.800000,1.600000,3.800000,0.700000,0.100000,1.300000,7.800000,29.000000,53.000000,0.353659,
4722,Chris Whitney,1998.000000,11.300000,1.200000,1.800000,0.500000,0.100000,0.900000,4.800000,14.000000,25.000000,0.358974,
4723,Chris Whitney,1997.000000,13.100000,1.400000,2.400000,0.400000,0.100000,0.800000,5.100000,42.000000,40.000000,0.512195,
4724,Chris Whitney,1996.000000,13.600000,1.300000,2.200000,0.600000,0.000000,0.800000,5.200000,44.000000,38.000000,0.536585,
4725,Chris Whitney,1995.000000,16.000000,1.600000,2.400000,0.900000,0.000000,1.100000,7.100000,12.000000,9.000000,0.571429,
4726,Chris Whitney,1994.000000,7.200000,0.500000,1.100000,0.200000,0.000000,0.700000,1.700000,15.000000,10.000000,0.600000,
4727,Chris Whitney,1993.000000,8.500000,0.700000,1.300000,0.300000,0.000000,0.900000,1.800000,29.000000,11.000000,0.725000,
4728,Chris Wilcox,2012.000000,13.600000,3.000000,0.400000,0.500000,0.500000,0.600000,4.200000,33.000000,28.000000,0.540984,
4729,Chris Wilcox,2011.000000,17.200000,4.400000,0.400000,0.400000,0.300000,1.100000,5.400000,15.000000,13.000000,0.535714,
4730,Chris Wilcox,2010.000000,17.500000,4.800000,0.800000,0.500000,0.300000,0.800000,7.400000,22.000000,35.000000,0.385965,
4731,Chris Wilcox,2009.000000,13.000000,3.400000,0.400000,0.400000,0.400000,1.100000,4.500000,9.000000,25.000000,0.264706,
4732,Chris Wilcox,2008.000000,16.900000,4.500000,0.800000,0.400000,0.300000,1.200000,7.200000,15.000000,47.000000,0.241935,
4733,Chris Wilcox,2008.000000,13.200000,3.300000,0.600000,0.300000,0.200000,0.800000,5.400000,7.000000,18.000000,0.280000,
4734,Chris Wilcox,2008.000000,19.400000,5.300000,0.900000,0.500000,0.300000,1.500000,8.400000,8.000000,29.000000,0.216216,
4735,Chris Wilcox,2007.000000,28.000000,7.000000,1.200000,0.700000,0.600000,1.700000,13.400000,16.000000,46.000000,0.258065,
4736,Chris Wilcox,2006.000000,31.500000,7.700000,1.000000,0.900000,0.500000,1.500000,13.500000,31.000000,51.000000,0.378049,
4737,Chris Wilcox,2005.000000,19.900000,5.300000,0.700000,0.400000,0.400000,0.900000,8.100000,45.000000,32.000000,0.584416,
4738,Chris Wilcox,2005.000000,30.100000,8.200000,1.200000,0.600000,0.400000,1.400000,14.100000,15.000000,14.000000,0.517241,
4739,Chris Wilcox,2005.000000,13.700000,3.600000,0.400000,0.300000,0.400000,0.700000,4.500000,30.000000,18.000000,0.625000,
4740,Chris Wilcox,2004.000000,18.600000,4.200000,0.700000,0.500000,0.400000,1.400000,7.900000,23.000000,31.000000,0.425926,
4741,Chris Wilcox,2003.000000,20.600000,4.700000,0.800000,0.400000,0.300000,1.200000,8.600000,25.000000,40.000000,0.384615,
4742,Chris Wilcox,2002.000000,10.400000,2.300000,0.500000,0.200000,0.300000,0.600000,3.700000,12.000000,34.000000,0.260870,
4743,Chris White,2013.000000,15.800000,2.500000,0.600000,0.900000,0.600000,0.600000,6.000000,1.000000,7.000000,0.125000,
4744,Chris White,2011.000000,7.800000,1.900000,0.200000,0.300000,0.500000,0.300000,2.900000,8.000000,16.000000,0.333333,
4745,Chris White,2012.000000,1.700000,0.000000,0.000000,0.000000,0.000000,0.300000,0.700000,2.000000,1.000000,0.666667,
4746,Christian Eyenga,2011.000000,14.600000,2.000000,0.700000,0.400000,0.700000,0.400000,2.400000,2.000000,5.000000,0.285714,
4747,Christian Eyenga,2011.000000,19.000000,2.000000,1.000000,0.000000,1.000000,1.000000,8.000000,0.000000,1.000000,0.000000,
4748,Christian Eyenga,2011.000000,13.800000,2.000000,0.700000,0.500000,0.700000,0.300000,1.500000,2.000000,4.000000,0.333333,
4749,Christian Eyenga,2010.000000,21.500000,2.800000,0.800000,0.800000,0.600000,1.100000,6.900000,10.000000,34.000000,0.227273,
4750,Christine Leitner,2004.000000,15.100000,2.700000,0.800000,0.700000,0.300000,0.600000,5.300000,38.000000,11.000000,0.775510,
4751,Christine Leitner,2003.000000,20.500000,4.800000,1.900000,0.800000,0.600000,0.900000,5.900000,11.000000,37.000000,0.229167,
4752,Christine Leitner,2002.000000,29.100000,6.600000,3.100000,1.100000,0.500000,1.100000,8.300000,34.000000,42.000000,0.447368,
4753,Christine Leitner,2001.000000,25.300000,5.300000,2.600000,1.100000,0.400000,1.500000,7.100000,21.000000,36.000000,0.368421,
4754,Christine Leitner,2000.000000,21.300000,4.700000,1.600000,0.900000,0.600000,1.800000,9.300000,38.000000,40.000000,0.487179,
4755,Christine Leitner,2000.000000,29.300000,6.100000,2.300000,1.200000,0.800000,2.700000,13.200000,6.000000,19.000000,0.240000,
4756,Christine Leitner,2000.000000,17.500000,4.000000,1.300000,0.800000,0.500000,1.300000,7.500000,32.000000,21.000000,0.603774,
4757,Christine Leitner,1999.000000,29.800000,6.700000,2.300000,1.000000,0.500000,2.300000,12.200000,42.000000,40.000000,0.512195,
4758,Christine Leitner,1998.000000,21.100000,3.400000,1.500000,0.900000,0.800000,1.200000,7.600000,13.000000,3.000000,0.812500,
4759,Christine Leitner,1997.000000,30.800000,6.600000,2.600000,1.000000,1.000000,2.500000,13.800000,47.000000,27.000000,0.635135,
4760,Christine Leitner,1996.000000,38.300000,8.800000,2.700000,1.200000,0.800000,2.700000,18.100000,56.000000,26.000000,0.682927,
4761,Christine Leitner,1995.000000,33.700000,7.300000,2.700000,1.000000,1.000000,2.500000,16.400000,32.000000,42.000000,0.432432,
4762,Christine Leitner,1995.000000,32.600000,7.900000,2.300000,1.000000,0.900000,2.500000,14.200000,18.000000,12.000000,0.600000,
4763,Christine Leitner,1995.000000,34.500000,6.900000,2.900000,0.900000,1.000000,2.500000,18.000000,14.000000,30.000000,0.318182,
4764,Christine Leitner,1994.000000,34.200000,7.600000,2.900000,1.200000,1.100000,2.800000,16.300000,21.000000,60.000000,0.259259,
4765,Christine Leitner,1993.000000,34.700000,8.600000,4.400000,1.200000,1.200000,3.700000,16.800000,16.000000,54.000000,0.228571,
4766,Christine Leitner,1992.000000,34.900000,8.700000,2.800000,1.300000,1.000000,3.400000,18.200000,19.000000,62.000000,0.234568,
4767,Cliristian Ude,2016.000000,8.200000,2.200000,0.200000,0.200000,0.500000,0.500000,2.700000,5.000000,8.000000,0.384615,
4768,Cliristian Ude,2015.000000,8.500000,2.200000,0.200000,0.300000,0.400000,0.100000,3.600000,0.000000,17.000000,0.000000,
4769,Chubby Cox,1982.000000,11.100000,1.400000,0.900000,0.000000,0.100000,1.300000,4.100000,0.500000,9.000000,0.052632,
4770,Chuck Aleksnas,1984.000000,15.100000,3.600000,0.500000,0.200000,0.200000,1.000000,5.100000,0.500000,9.000000,0.052632,
4771,Chuck Connors,1947.000000,16.100000,3.600000,0.300000,0.100000,0.100000,1.100000,3.000000,0.500000,9.000000,0.052632,
4772,Chuck Connors,1946.000000,16.100000,3.600000,0.800000,0.100000,0.100000,1.100000,4.600000,0.500000,9.000000,0.052632,
4773,Chuck Cooper,1955.000000,17.100000,3.600000,1.300000,0.100000,0.100000,1.100000,4.500000,0.500000,9.000000,0.052632,
4774,Chuck Cooper,1955.000000,17.800000,3.200000,0.800000,0.100000,0.100000,1.100000,3.900000,0.500000,9.000000,0.052632,
4775,Chuck Cooper,1955.000000,16.400000,3.900000,1.700000,0.100000,0.100000,1.100000,5.100000,0.500000,9.000000,0.052632,
4776,Chuck Cooper,1954.000000,25.000000,5.500000,2.200000,0.100000,0.100000,1.100000,8.200000,0.500000,9.000000,0.052632,
4777,Chuck Cooper,1953.000000,15.700000,4.300000,1.100000,0.100000,0.100000,1.100000,3.300000,0.500000,9.000000,0.052632,
4778,Chuck Cooper,1952.000000,28.500000,6.300000,1.600000,0.100000,0.100000,1.100000,6.500000,0.500000,9.000000,0.052632,
4779,Chuck Cooper,1951.000000,29.900000,7.600000,2.000000,0.100000,0.100000,1.100000,8.200000,0.500000,9.000000,0.052632,
4780,Chuck Cooper,1950.000000,20.750000,8.500000,2.600000,0.100000,0.100000,1.100000,9.300000,0.500000,9.000000,0.052632,
4781,Chuck Gardner,1967.000000,11.600000,3.200000,0.300000,0.100000,0.100000,1.200000,4.700000,0.500000,9.000000,0.052632,
4782,Chuck Gilmore,1950.000000,9.000000,4.700000,1.100000,0.100000,0.100000,1.350000,3.200000,0.500000,9.000000,0.052632,
4783,Chuck Gilmore,1949.000000,9.000000,3.150000,1.600000,0.100000,0.100000,1.350000,6.100000,0.500000,9.000000,0.052632,
4784,Chuck Gilmore,1948.000000,9.000000,3.150000,2.200000,0.100000,0.100000,1.350000,5.100000,0.500000,9.000000,0.052632,
4785,Chuck Gilmore,1947.000000,9.000000,3.150000,1.600000,0.100000,0.100000,1.350000,9.600000,0.500000,9.000000,0.052632,
4786,Chuck Gilmore,1946.000000,9.000000,3.150000,0.400000,0.100000,0.100000,1.350000,3.500000,0.500000,9.000000,0.052632,
4787,Chuck Greasby,1954.000000,6.400000,1.600000,1.000000,0.100000,0.100000,1.350000,2.300000,0.500000,9.000000,0.052632,
4788,Chuck Hayes,2015.000000,12.000000,4.000000,1.000000,0.000000,0.000000,1.500000,2.000000,1.000000,1.000000,0.500000,
4789,Chuck Hayes,2014.000000,8.800000,1.800000,0.700000,0.300000,0.100000,0.300000,1.700000,17.000000,12.000000,0.586207,
